bldg_id,in.representative_income,in.sqft..ft2,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.door_area,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.net.energy_savings..kwh
480016,2844.0,0.20647060759876654,-0.6158664237870236,-0.16651255968348938,0.8291082998567751,-0.24994131614844356,1.0,0.0,0.392881109577406,0.7859322218479413,-0.07060888353329235,0.24416564473528765,0.5482632362249414,0.0,0.0,-0.26661689640215974,0.5791527051360861,0.47112207411560814,1.0,0.5686626364211338,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,-252.6272625
23919,2320.0,-0.29660303007853733,0.35416681027979,-0.16651255968348938,0.8291082998567751,1.0076819578654446,1.0,0.0,-0.29395194485623055,-0.7302910026020694,-0.3540640405333686,-0.8462447847652738,-1.3749819331193334,0.0,0.0,0.9385781800173594,0.5791527051360861,0.47112207411560814,1.0,1.096944049704593,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,-362.2358428
363303,27419.0,-0.6969212013366473,-0.6158664237870236,-0.16651255968348938,-1.8278612374364065,-1.5075645901623316,0.0,0.0,-0.809076735681458,-0.7302910026020694,-0.07060888353329235,0.24416564473528765,-1.3749819331193334,0.0,0.0,0.9385781800173594,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,4063.430388
215041,15994.0,-1.2663577444096805,-1.5858996578538374,-0.16651255968348938,-1.29646732997777,-1.5075645901623316,0.0,0.0,-1.6676180537235037,-0.7302910026020694,9.283411297469224,2.4249865037364104,-1.3749819331193334,0.0,0.0,0.9385781800173594,-2.315309353791229,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,2273.645363
134993,23187.0,-0.6969212013366473,-0.6158664237870236,-0.16651255968348938,-1.8278612374364065,-1.5075645901623316,0.0,0.0,-0.809076735681458,-0.7302910026020694,-0.07060888353329235,0.24416564473528765,-1.3749819331193334,0.0,0.0,-1.471811972821679,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,3026.251871
411128,37755.0,-0.6969212013366473,-0.6158664237870236,-0.16651255968348938,-1.8278612374364065,-0.24994131614844356,1.0,0.0,-0.809076735681458,-0.7302910026020694,0.21284627346678392,1.334576074235849,-1.3749819331193334,0.0,0.0,-1.471811972821679,-2.315309353791229,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,4921.542482
120518,10968.0,-0.6969212013366473,-0.6158664237870236,-0.16651255968348938,-1.29646732997777,-1.5075645901623316,0.0,0.0,-0.809076735681458,-0.7302910026020694,0.21284627346678392,1.334576074235849,-1.3749819331193334,0.0,0.0,0.9385781800173594,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,1427.549183
328126,5158.0,0.7213183091366031,1.3242000443466038,-0.16651255968348938,-0.23367951506049747,1.0076819578654446,1.0,0.0,1.0797141640110426,0.7859322218479413,-0.3540640405333686,-0.8462447847652738,0.5482632362249414,0.0,0.0,0.9385781800173594,0.5791527051360861,0.47112207411560814,1.0,-0.48790019014578473,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,-1322.336669
42319,22328.0,-0.39293627984653173,1.3242000443466038,-0.16651255968348938,0.8291082998567751,-1.5075645901623316,0.0,0.0,-0.29395194485623055,-0.7302910026020694,-0.07060888353329235,0.24416564473528765,-1.3749819331193334,0.0,0.0,0.9385781800173594,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,2565.251077
517792,20629.0,-0.9441765424078328,0.35416681027979,-0.16651255968348938,0.8291082998567751,-1.5075645901623316,0.0,0.0,-1.1524932628982762,-0.7302910026020694,-0.07060888353329235,0.24416564473528765,-1.3749819331193334,0.0,0.0,0.9385781800173594,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,2365.669679
318413,29912.0,-0.39293627984653173,-0.6158664237870236,-0.16651255968348938,0.8291082998567751,-1.5075645901623316,0.0,0.0,-0.29395194485623055,-0.7302910026020694,0.21284627346678392,1.334576074235849,-1.3749819331193334,0.0,0.0,-1.471811972821679,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,3350.388475
132375,14441.0,-0.6969212013366473,-0.6158664237870236,-0.16651255968348938,-0.23367951506049747,-1.5075645901623316,0.0,0.0,-0.809076735681458,-0.7302910026020694,0.49630143046686015,2.4249865037364104,-1.3749819331193334,0.0,0.0,0.9385781800173594,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,1562.948017
537770,15472.0,-0.319080788357736,-0.6158664237870236,-0.16651255968348938,0.8291082998567751,1.0076819578654446,1.0,0.0,-0.29395194485623055,-0.7302910026020694,-0.3540640405333686,-0.8462447847652738,-1.3749819331193334,0.0,0.0,-0.26661689640215974,-1.5916938390594002,-1.8887326394724835,1.0,1.096944049704593,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,1670.212029
431943,8644.0,-0.39293627984653173,-0.6158664237870236,-0.16651255968348938,-1.8278612374364065,-1.5075645901623316,0.0,0.0,-0.29395194485623055,-0.7302910026020694,-0.07060888353329235,0.24416564473528765,-1.3749819331193334,0.0,0.0,-1.471811972821679,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,917.6055208
42130,17497.0,-1.2663577444096805,-1.5858996578538374,-0.16651255968348938,-1.8278612374364065,-1.5075645901623316,0.0,0.0,-1.6676180537235037,-0.7302910026020694,0.21284627346678392,1.334576074235849,0.5482632362249414,0.0,0.0,-1.471811972821679,-2.315309353791229,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,1802.387082
236208,1313.0,-1.2663577444096805,-1.5858996578538374,-0.16651255968348938,1.3605022073154114,-1.5075645901623316,0.0,0.0,-1.6676180537235037,-0.7302910026020694,-0.07060888353329235,0.24416564473528765,0.5482632362249414,0.0,0.0,-0.26661689640215974,-0.1444628095957427,0.47112207411560814,1.0,1.096944049704593,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,-310.9484055
285813,23830.0,-0.39293627984653173,-0.6158664237870236,-0.16651255968348938,0.8291082998567751,-1.5075645901623316,0.0,0.0,-0.29395194485623055,-0.7302910026020694,0.7797565874669364,2.4249865037364104,-1.3749819331193334,0.0,0.0,-0.26661689640215974,-1.5916938390594002,-1.8887326394724835,1.0,1.096944049704593,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,2317.312952
526267,6549.0,-0.6969212013366473,-1.5858996578538374,-0.16651255968348938,0.29771439239813885,-1.5075645901623316,0.0,0.0,-0.809076735681458,-0.7302910026020694,-0.07060888353329235,0.24416564473528765,-1.3749819331193334,0.0,0.0,-1.471811972821679,0.5791527051360861,0.47112207411560814,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,-405.3172901
294838,35355.0,-1.2663577444096805,-1.5858996578538374,-0.16651255968348938,0.8291082998567751,-1.5075645901623316,0.0,0.0,-1.6676180537235037,-0.7302910026020694,-0.3540640405333686,-0.8462447847652738,-1.3749819331193334,0.0,0.0,0.9385781800173594,-2.315309353791229,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,3047.93913
162319,21609.0,-0.6969212013366473,-0.6158664237870236,-0.16651255968348938,-0.23367951506049747,-1.5075645901623316,0.0,0.0,-0.809076735681458,-0.7302910026020694,-0.3540640405333686,-0.8462447847652738,-1.3749819331193334,0.0,0.0,-0.26661689640215974,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,1753.151142
446742,58588.0,0.20647060759876654,0.35416681027979,-0.16651255968348938,0.8291082998567751,1.0076819578654446,1.0,0.0,0.392881109577406,0.7859322218479413,-0.3540640405333686,-0.8462447847652738,0.5482632362249414,0.0,0.0,-1.471811972821679,-1.5916938390594002,-1.8887326394724835,1.0,1.096944049704593,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,4132.888232
344433,51862.0,-0.6969212013366473,-0.6158664237870236,-0.16651255968348938,0.8291082998567751,-1.5075645901623316,0.0,0.0,-0.809076735681458,-0.7302910026020694,0.21284627346678392,1.334576074235849,-1.3749819331193334,0.0,0.0,-1.471811972821679,-1.5916938390594002,-1.8887326394724835,0.0,-1.5444630167127031,5.551115123125783e-17,-4.440892098500626e-16,8.881784197001252e-16,2.220446049250313e-16,3589.534468
