bldg_id,in.representative_income,in.sqft..ft2,in.area_median_income,in.bedrooms,in.cec_climate_zone,in.city,in.clothes_washer,in.clothes_washer_presence,in.clothes_washer_usage_level,in.dishwasher_usage_level,in.door_area,in.federal_poverty_level,in.geometry_building_type_acs,in.geometry_building_type_height,in.geometry_building_type_recs,in.geometry_floor_area,in.geometry_floor_area_bin,in.geometry_stories,in.geometry_stories_low_rise,in.heating_fuel,in.hot_water_distribution,in.hot_water_fixtures,in.income,in.income_recs_2020,in.vacancy_status,in.usage_level,in.water_heater_efficiency,in.water_heater_fuel,in.water_heater_in_unit,in.water_heater_location,in.utility_bill_electricity_marginal_rates,in.utility_bill_fuel_oil_marginal_rates,in.utility_bill_natural_gas_fixed_charges,in.utility_bill_natural_gas_marginal_rates,out.electricity.net.energy_savings..kwh
184,-0.2819558635428605,-0.32105015537669596,-0.15178669513381315,0.33981670477140424,-0.17116329922036363,-1.3775650894329217,0.0,1.0,-1.3611408770964681,-1.3611408770964681,0.0,0.5354154597377742,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,-0.35997325793725243,-0.7459531673770783,-0.36139530249008056,-0.8431509213221412,-0.6108959216643721,0,-0.8094881925451382,0.011116784445780334,0.32520075252487357,0,-1.3611408770964677,-0.7673361266005585,-0.5140030482285791,1.0,-1.4517619507575115,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.4973714207989949
216,-0.31388213297393786,0.6970072427797385,-0.15178669513381315,0.33981670477140424,-0.17116329922036363,-0.8216869867291317,1.0,1.0,-1.3611408770964681,-1.3611408770964681,0.0,-1.2791436867690236,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,0.8911353231864483,0.63921773286936,-0.060041941078257055,0.262173793943452,-0.6108959216643721,0,-0.8094881925451382,0.011116784445780334,0.32520075252487357,0,-1.3611408770964677,-0.14900869736738673,-0.5140030482285791,1.0,-1.4517619507575115,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-1.020469619686193
1979,-0.9495424410014555,-0.9687102246560259,-1.108623876180697,-1.6227411408672818,-0.17116329922036363,-0.8216869867291317,1.0,1.0,-1.3611408770964681,-1.3611408770964681,0.0,-1.2791436867690236,-0.28440976385679123,-0.1535905704064513,0.2985664699326163,-1.1419161211395654,-0.7459531673770783,3.857551757275449,2.4728232244746384,-0.6108959216643721,0,-1.2322833139240161,-1.2737919795115091,-1.357781596379848,0,-1.3611408770964677,0.46931873186578504,1.7719008033871273,0.0,-0.6119391757309379,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,1.4665496206208757
2277,-0.30716401296035245,-0.7214218345675545,0.23094817728494035,-0.6414622180479387,-0.17116329922036363,-0.26580888402534164,,,0.020980976910927786,0.020980976910927786,0.0,0.5354154597377742,0.13839403177798731,0.4572941888705285,0.2985664699326163,-0.8291389758586403,-0.7459531673770783,0.24131142033356648,1.3674985092090453,1.3864847877272897,0,0.03610205021261788,0.011116784445780334,0.32520075252487357,0,0.020980976910928154,-0.7673361266005585,-0.5140030482285791,0.0,-0.6119391757309379,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.2973918035228424
2544,0.687087350317197,0.18209072488989098,1.187785358331824,0.33981670477140424,-0.17116329922036363,0.29006921867844837,0.0,1.0,-1.3611408770964681,-1.3611408770964681,0.0,0.5354154597377742,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,0.2655810326245979,0.63921773286936,-0.36139530249008056,-0.8431509213221412,1.3864847877272897,0,-1.2322833139240161,1.101350189674777,0.8862060887087735,0,-1.3611408770964677,-0.7673361266005585,-0.5140030482285791,1.0,-1.4517619507575115,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.2569110809954272
2973,-1.2069209144178554,-1.3433896035779522,-1.6827261848088273,-1.6227411408672818,-0.17116329922036363,-0.8216869867291317,,,0.020980976910927786,0.020980976910927786,0.0,-3.093702833275821,0.5611978274127658,1.0681789481475084,1.313692467703512,-1.6110818390609531,-0.7459531673770783,-0.36139530249008056,-0.8431509213221412,1.3864847877272897,0,0.03610205021261788,-1.8189047884630865,-2.0309633160594105,0,0.020980976910928154,-0.7673361266005585,-0.5140030482285791,1.0,0.22788359929563562,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.6655966988470562
4105,-0.3160480427068246,0.18209072488989098,0.6136830497036939,0.33981670477140424,-0.17116329922036363,0.8459473213822384,1.0,1.0,-1.3611408770964681,-1.3611408770964681,0.0,-1.2791436867690236,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,0.2655810326245979,0.63921773286936,-0.36139530249008056,-0.8431509213221412,1.3864847877272897,0,-0.8094881925451382,0.011116784445780334,0.32520075252487357,0,-1.3611408770964677,1.0876461610989567,1.7719008033871273,1.0,-1.4517619507575115,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,3.866305027934715
4347,-0.257340489420685,-0.7214218345675545,-0.15178669513381315,-0.6414622180479387,-0.17116329922036363,-0.8216869867291317,1.0,1.0,0.020980976910927786,0.020980976910927786,0.0,0.5354154597377742,0.9840016230475442,1.679063707424488,2.3288184654744075,-0.8291389758586403,-0.7459531673770783,-0.060041941078257055,0.262173793943452,-0.6108959216643721,0,-0.3866930711662601,0.011116784445780334,0.32520075252487357,0,0.020980976910928154,-0.14900869736738673,-0.5140030482285791,0.0,-0.6119391757309379,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.34150851909164226
4961,0.8468250930384098,0.6970072427797385,1.187785358331824,1.3210956275907473,-0.17116329922036363,-0.26580888402534164,0.0,1.0,-1.3611408770964681,-1.3611408770964681,0.0,0.5354154597377742,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,0.8911353231864483,0.63921773286936,-0.060041941078257055,0.262173793943452,1.3864847877272897,0,-1.6550784353028942,1.101350189674777,0.8862060887087735,0,-1.3611408770964677,-0.7673361266005585,-0.5140030482285791,1.0,1.0677063743222093,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-1.2723227376861008
5354,-0.19151203290747576,1.9077568929531634,0.6136830497036939,2.3023745504100903,-0.17116329922036363,1.4018254240860284,0.0,1.0,0.020980976910927786,0.020980976910927786,0.0,0.5354154597377742,-0.7072135594915697,-0.7644753296834311,-0.7165595278382794,2.4550210495910743,2.024388633115798,-0.36139530249008056,-0.8431509213221412,1.3864847877272897,0,0.03610205021261788,0.3226098181323959,0.8862060887087735,0,0.020980976910928154,-0.7673361266005585,-0.5140030482285791,1.0,-1.4517619507575115,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,-0.9004818493205027
6283,-0.6238808133745747,-0.7214218345675545,-0.5345215675525666,-0.6414622180479387,-0.17116329922036363,-0.8216869867291317,,,1.4031028309183238,1.4031028309183238,0.0,0.5354154597377742,0.13839403177798731,0.4572941888705285,0.2985664699326163,-0.8291389758586403,-0.7459531673770783,0.24131142033356648,1.3674985092090453,1.3864847877272897,0,1.72728253572813,-0.6118692829274509,-0.6845886568179593,0,1.403102830918324,0.46931873186578504,1.7719008033871273,0.0,-0.6119391757309379,5.551115123125783e-17,0.0,-8.881784197001252e-16,2.220446049250313e-16,1.73900669918863
